brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
29847.0,for_sale,599000.0,2,3,1.23,1370077.0,Goshen,Connecticut,06756,1534.0,
41533.0,for_sale,69900.0,,,0.53,1319211.0,Millerton,New York,12546,,
38575.0,for_sale,55000.0,,,2.63,1905680.0,Schodack Landing,New York,12184,,
63606.0,for_sale,288000.0,3,3,0.25,196337.0,Sand Lake,New York,12018,1716.0,2013-06-05
107912.0,for_sale,695000.0,3,2,0.39,196935.0,Salisbury,Connecticut,06068,1524.0,2007-01-30
38575.0,for_sale,599900.0,,1,1.9,387065.0,Chatham,New York,12037,8000.0,
94669.0,for_sale,339900.0,3,2,0.76,1447138.0,Watertown,Connecticut,06795,1192.0,2018-09-17
38575.0,for_sale,45000.0,,,1.66,1903955.0,Schodack Landing,New York,12184,,
38575.0,for_sale,50000.0,,,2.24,1904046.0,Schodack Landing,New York,12184,,
38575.0,for_sale,144900.0,,,6.53,1903904.0,Schodack Landing,New York,12184,,
9071.0,for_sale,195000.0,,,13.19,1559215.0,Kinderhook,New York,12106,,
3439.0,for_sale,249000.0,,,28.11,1867443.0,Chatham,New York,12037,,
38575.0,for_sale,144900.0,,,6.53,1858351.0,Schodack Landing,New York,12132,,
32014.0,for_sale,1795000.0,4,4,6.09,848512.0,Salisbury,Connecticut,06068,3311.0,2011-04-26
10368.0,for_sale,225000.0,4,2,7.5,1708851.0,New Lebanon,New York,12125,1804.0,
10368.0,for_sale,225000.0,5,2,7.5,1709319.0,New Lebanon,New York,12125,1804.0,
52568.0,for_sale,249900.0,3,2,4.81,1645688.0,Berlin,New York,12022,1478.0,
45690.0,for_sale,149900.0,3,2,2.63,1025062.0,Johnsonville,New York,12094,1334.0,
61576.0,for_sale,199000.0,4,1,0.61,1309401.0,Hoosick Falls,New York,12090,1695.0,2019-09-27
41534.0,for_sale,375000.0,7,3,,1308816.0,Nassau,New York,12123,3885.0,2021-12-09
96464.0,for_sale,749000.0,4,3,10.68,1826263.0,Morris,Connecticut,06763,3126.0,2003-02-19
10368.0,for_sale,219900.0,2,1,1.01,513064.0,Stephentown,New York,12168,960.0,2008-08-22
26052.0,for_sale,219926.0,4,1,0.15,821761.0,Watertown,Connecticut,06779,1368.0,
44625.0,for_sale,798900.0,4,3,5.0,920168.0,Kinderhook,New York,12184,3200.0,
45503.0,for_sale,499000.0,3,3,5.1,1285455.0,East Chatham,New York,12060,1800.0,
26052.0,for_sale,269900.0,3,2,0.26,1259775.0,Watertown,Connecticut,06795,1040.0,2016-12-05
73310.0,for_sale,325000.0,3,2,0.56,729180.0,Watertown,Connecticut,06795,1596.0,2018-11-20
107912.0,for_sale,775000.0,3,3,25.96,501477.0,Bethlehem,Connecticut,06751,1978.0,
24605.0,for_sale,599000.0,5,2,16.06,467099.0,Old Chatham,New York,12136,2639.0,2016-09-02
88621.0,for_sale,39900.0,3,1,6680.0,823032.0,Hoosick Falls,New York,12090,1300.0,
